訂票代碼,客戶證號,訂單狀態,乘車日期,訂票張數,起站,迄站
0059942,R101556908,預訂,2018/1/5,1,5050,4120
0059943,P275795822,預訂,2018/1/7,3,5050,7160
0059944,C227382775,預訂,2018/1/7,3,5050,7160
0059945,R191442184,預訂,2018/1/7,3,5050,7160
0059946,M180511816,預訂,2018/1/5,1,5050,4120
0059947,B137615457,預訂,2018/1/5,1,5050,4120
0059948,Z157825244,預訂,2018/1/5,1,5050,4120
0059949,I176105268,預訂,2018/1/7,3,5050,7160
0059950,U126219669,預訂,2018/1/5,1,5050,4120
0059951,N178034430,預訂,2018/1/5,1,5050,4120
0059952,T117355044,預訂,2018/1/6,2,5050,1160
0059953,R299621545,預訂,2018/1/7,3,5050,7160
0059954,L227774878,預訂,2018/1/6,2,5050,1160
0059955,V131155431,預訂,2018/1/7,3,5050,7160
0059956,M114096015,預訂,2018/1/7,3,5050,7160
0059957,B215099120,預訂,2018/1/5,1,5050,4120
0059958,N215689179,預訂,2018/1/7,3,5050,7160
0060188,D192407302,預訂,2018/1/5,1,5050,4120
0060189,P208506871,預訂,2018/1/5,1,5050,4120
0060190,C273262473,預訂,2018/1/6,2,5050,1160
0060191,V131556321,預訂,2018/1/6,2,5050,1160
0060192,P278002628,預訂,2018/1/7,3,5050,7160
0060193,P190920472,預訂,2018/1/7,3,5050,7160
0060194,Q135153965,預訂,2018/1/6,2,5050,1160
0060195,E296419187,預訂,2018/1/6,2,5050,1160
0060196,A258112701,預訂,2018/1/5,1,5050,4120
0060197,M299404871,預訂,2018/1/5,1,5050,4120
0060198,D115488234,預訂,2018/1/5,1,5050,4120
0060199,E185777443,預訂,2018/1/5,1,5050,4120
0060200,N108197566,預訂,2018/1/7,3,5050,7160
0060201,I133727279,預訂,2018/1/5,1,5050,4120
0060202,O196789225,預訂,2018/1/5,1,5050,4120
0060203,O272983509,預訂,2018/1/7,3,5050,7160
0060204,D145039132,預訂,2018/1/5,1,5050,4120
0060205,D116141767,預訂,2018/1/6,2,5050,1160
0060206,Q187883863,預訂,2018/1/5,1,5050,4120
0060679,K180439729,預訂,2018/1/7,3,5050,7160
0060680,P237706054,預訂,2018/1/5,1,5050,4120
0060681,G198280559,預訂,2018/1/5,1,5050,4120
0060682,B251271931,預訂,2018/1/7,3,5050,7160
0060683,R264645091,預訂,2018/1/7,3,5050,7160
0060684,O170503707,預訂,2018/1/5,1,5050,4120
0060685,H184367295,預訂,2018/1/7,3,5050,7160
0060686,H173271233,預訂,2018/1/5,1,5050,4120
0060687,K237357656,預訂,2018/1/7,3,5050,7160
0060688,F122457723,預訂,2018/1/6,2,5050,1160
0060689,H291079220,預訂,2018/1/5,1,5050,4120
0060690,J292704787,預訂,2018/1/7,3,5050,7160
0060691,F141648404,預訂,2018/1/7,3,5050,7160
0060692,D233263719,預訂,2018/1/6,2,5050,1160
0060693,B208284495,預訂,2018/1/6,2,5050,1160
0060694,E177012120,預訂,2018/1/5,1,5050,4120
0060695,U114949607,預訂,2018/1/6,2,5050,1160
0060696,L213473260,預訂,2018/1/5,1,5050,4120
0060697,B270277677,預訂,2018/1/5,1,5050,4120
0060754,O145224999,預訂,2018/1/7,3,5050,7160
0060755,A200151274,預訂,2018/1/5,1,5050,4120
0060756,I153514894,預訂,2018/1/5,1,5050,4120
0060757,R178853894,預訂,2018/1/7,3,5050,7160
0060758,V140970124,預訂,2018/1/6,2,5050,1160
0060759,U235610603,預訂,2018/1/7,3,5050,7160
0060760,U250232472,預訂,2018/1/5,1,5050,4120
0060761,F170821355,預訂,2018/1/5,1,5050,4120
0060762,O151432210,預訂,2018/1/6,2,5050,1160
0060763,F110571254,預訂,2018/1/6,2,5050,1160
0060764,T197831534,預訂,2018/1/7,3,5050,7160
0060765,Z164689650,預訂,2018/1/6,2,5050,1160
0060766,H137621399,預訂,2018/1/6,2,5050,1160
0060767,I105885211,預訂,2018/1/6,2,5050,1160
0060768,R263915870,預訂,2018/1/7,3,5050,7160
0060769,I258127544,預訂,2018/1/7,3,5050,7160
0060770,C269816525,預訂,2018/1/6,2,5050,1160
0060771,B244204635,預訂,2018/1/6,2,5050,1160
0060772,V101947887,預訂,2018/1/5,1,5050,4120
0059959,K259653362,預訂,2018/1/6,2,5050,1160
0059960,O202546809,預訂,2018/1/5,1,5050,4120
0059961,H283734141,預訂,2018/1/5,1,5050,4120
0059962,C130729762,預訂,2018/1/6,2,5050,1160
0059963,C229540917,預訂,2018/1/6,2,5050,1160
0059964,F293881673,預訂,2018/1/7,3,5050,7160
0059965,P166075833,預訂,2018/1/5,1,5050,4120
0059966,A200383678,預訂,2018/1/7,3,5050,7160
0059967,L170324140,預訂,2018/1/5,1,5050,4120
0059968,P152251101,預訂,2018/1/6,2,5050,1160
0059969,R240489297,預訂,2018/1/7,3,5050,7160
0059970,M207494638,預訂,2018/1/7,3,5050,7160
0059971,E256440895,預訂,2018/1/6,2,5050,1160
0059972,B106675423,預訂,2018/1/7,3,5050,7160
0059973,C164196740,預訂,2018/1/7,3,5050,7160
0059974,C130992596,預訂,2018/1/6,2,5050,1160
0059975,O124312127,預訂,2018/1/6,2,5050,1160
0059976,I283752242,預訂,2018/1/6,2,5050,1160
0059977,Z123093381,預訂,2018/1/5,1,5050,4120
0060207,U121621570,預訂,2018/1/6,2,5050,1160
0060208,Q233470312,預訂,2018/1/6,2,5050,1160
0060209,H107432866,預訂,2018/1/6,2,5050,1160
0060210,S200290324,預訂,2018/1/5,1,5050,4120
0060211,I181177801,預訂,2018/1/6,2,5050,1160
0060212,H231725667,預訂,2018/1/5,1,5050,4120
0060213,F243465496,預訂,2018/1/7,3,5050,7160
0060214,E246879026,預訂,2018/1/5,1,5050,4120
0060215,N218570186,預訂,2018/1/6,2,5050,1160
0060216,P183233722,預訂,2018/1/6,2,5050,1160
0060217,A297436884,預訂,2018/1/6,2,5050,1160
0060218,P202295619,預訂,2018/1/7,3,5050,7160
0060219,R132709671,預訂,2018/1/7,3,5050,7160
0060220,Q142757937,預訂,2018/1/5,1,5050,4120
0060221,H233342951,預訂,2018/1/5,1,5050,4120
0060222,S192226765,預訂,2018/1/5,1,5050,4120
0060223,Z206498053,預訂,2018/1/7,3,5050,7160
0060224,U127833234,預訂,2018/1/5,1,5050,4120
0060225,Z203200006,預訂,2018/1/5,1,5050,4120
0060436,G296446668,預訂,2018/1/5,1,5050,4120
0060437,B248617076,預訂,2018/1/7,3,5050,7160
0060438,A141553307,預訂,2018/1/6,2,5050,1160
0060439,E287446265,預訂,2018/1/6,2,5050,1160
0060440,A121592871,預訂,2018/1/5,1,5050,4120
0060441,A133400155,預訂,2018/1/7,3,5050,7160
0060442,F206881249,預訂,2018/1/5,1,5050,4120
0060443,E201064792,預訂,2018/1/6,2,5050,1160
0060444,P174469778,預訂,2018/1/7,3,5050,7160
0060445,M251397528,預訂,2018/1/7,3,5050,7160
0060446,A125367785,預訂,2018/1/7,3,5050,7160
0060447,F125124552,預訂,2018/1/5,1,5050,4120
0060448,A124806532,預訂,2018/1/5,1,5050,4120
0060449,B278640985,預訂,2018/1/6,2,5050,1160
0060450,E103184428,預訂,2018/1/6,2,5050,1160
0060451,V156648446,預訂,2018/1/6,2,5050,1160
0060452,M146733903,預訂,2018/1/5,1,5050,4120
0060453,J156013729,預訂,2018/1/5,1,5050,4120
0060454,T132069683,預訂,2018/1/7,3,5050,7160
0060773,H272929732,預訂,2018/1/5,1,5050,4120
0060774,C112889185,預訂,2018/1/6,2,5050,1160
0060775,Z218438656,預訂,2018/1/6,2,5050,1160
0060776,J273254637,預訂,2018/1/5,1,5050,4120
0060777,S255921347,預訂,2018/1/5,1,5050,4120
0060778,L129401965,預訂,2018/1/5,1,5050,4120
0060779,T225655475,預訂,2018/1/6,2,5050,1160
0060780,D182065632,預訂,2018/1/6,2,5050,1160
0060781,T206456309,預訂,2018/1/7,3,5050,7160
0060782,L200403049,預訂,2018/1/7,3,5050,7160
0060783,G191254444,預訂,2018/1/7,3,5050,7160
0060784,D108222833,預訂,2018/1/5,1,5050,4120
0060785,O247461358,預訂,2018/1/5,1,5050,4120
0060786,N285391568,預訂,2018/1/5,1,5050,4120
0060787,M297712227,預訂,2018/1/5,1,5050,4120
0060788,F253376291,預訂,2018/1/6,2,5050,1160
0060789,N142244282,預訂,2018/1/6,2,5050,1160
0060790,H195099708,預訂,2018/1/6,2,5050,1160
0060791,Z290405908,預訂,2018/1/7,3,5050,7160
0059978,C143793043,預訂,2018/1/7,3,5050,7160
0059979,Q220313997,預訂,2018/1/7,3,5050,7160
0059980,M177464746,預訂,2018/1/6,2,5050,1160
0059981,T129677411,預訂,2018/1/7,3,5050,7160
0059982,T294734870,預訂,2018/1/5,1,5050,4120
0059983,O211993914,預訂,2018/1/6,2,5050,1160
0059984,K120188676,預訂,2018/1/7,3,5050,7160
0059985,J258406304,預訂,2018/1/6,2,5050,1160
0059986,L211039135,預訂,2018/1/6,2,5050,1160
0059987,H233727749,預訂,2018/1/6,2,5050,1160
0059989,P219877710,預訂,2018/1/7,3,5050,7160
0059990,I189593852,預訂,2018/1/6,2,5050,1160
0059991,S283724581,預訂,2018/1/7,3,5050,7160
0059992,F247499372,預訂,2018/1/7,3,5050,7160
0059993,L147111866,預訂,2018/1/6,2,5050,1160
0059994,E218144170,預訂,2018/1/7,3,5050,7160
0059995,B163305762,預訂,2018/1/5,1,5050,4120
0059996,V112157853,預訂,2018/1/6,2,5050,1160
0060226,B108363033,預訂,2018/1/5,1,5050,4120
0060227,A276246077,預訂,2018/1/7,3,5050,7160
0060228,E122889368,預訂,2018/1/7,3,5050,7160
0060229,N261674266,預訂,2018/1/5,1,5050,4120
0060230,H245108030,預訂,2018/1/6,2,5050,1160
0060231,P200645424,預訂,2018/1/7,3,5050,7160
0060232,E250301004,預訂,2018/1/7,3,5050,7160
0060233,B271983923,預訂,2018/1/7,3,5050,7160
0060234,N219532733,預訂,2018/1/7,3,5050,7160
0060235,U109510541,預訂,2018/1/7,3,5050,7160
0060236,C182604807,預訂,2018/1/5,1,5050,4120
0060237,A157121277,預訂,2018/1/7,3,5050,7160
0060238,H196597838,預訂,2018/1/5,1,5050,4120
0060239,P226369054,預訂,2018/1/7,3,5050,7160
0060240,I189674334,預訂,2018/1/6,2,5050,1160
0060241,G197257869,預訂,2018/1/5,1,5050,4120
0060242,V253119011,預訂,2018/1/5,1,5050,4120
0060243,B283155653,預訂,2018/1/7,3,5050,7160
0060244,S132340262,預訂,2018/1/6,2,5050,1160
0060455,A273004273,預訂,2018/1/5,1,5050,4120
0060456,D269306329,預訂,2018/1/5,1,5050,4120
0060457,F117308053,預訂,2018/1/7,3,5050,7160
0060458,C206014567,預訂,2018/1/5,1,5050,4120
0060459,B284570378,預訂,2018/1/5,1,5050,4120
0060460,T225134159,預訂,2018/1/7,3,5050,7160
0060461,K140705860,預訂,2018/1/5,1,5050,4120
0060462,Z181611432,預訂,2018/1/5,1,5050,4120
0060463,N217062569,預訂,2018/1/6,2,5050,1160
0060464,Q130211980,預訂,2018/1/5,1,5050,4120
0060465,I228701943,預訂,2018/1/5,1,5050,4120
0060466,T165727485,預訂,2018/1/7,3,5050,7160
0060467,L258860194,預訂,2018/1/6,2,5050,1160
0060468,Q204668611,預訂,2018/1/6,2,5050,1160
0060469,A281228698,預訂,2018/1/7,3,5050,7160
0060470,S205781722,預訂,2018/1/6,2,5050,1160
0060471,R196090288,預訂,2018/1/7,3,5050,7160
0060472,L171305032,預訂,2018/1/6,2,5050,1160
0060473,N154301452,預訂,2018/1/6,2,5050,1160
0060792,A194221709,預訂,2018/1/7,3,5050,7160
0060793,K220499710,預訂,2018/1/7,3,5050,7160
0060794,C253756045,預訂,2018/1/5,1,5050,4120
0060795,U162599702,預訂,2018/1/7,3,5050,7160
0060796,P189375578,預訂,2018/1/7,3,5050,7160
0060797,E163549445,預訂,2018/1/7,3,5050,7160
0060798,U283287183,預訂,2018/1/7,3,5050,7160
0060799,Z124830244,預訂,2018/1/6,2,5050,1160
0060800,I169553941,預訂,2018/1/7,3,5050,7160
0060801,B138572915,預訂,2018/1/7,3,5050,7160
0060802,G159997391,預訂,2018/1/6,2,5050,1160
0060803,H170264610,預訂,2018/1/5,1,5050,4120
0060804,L236846850,預訂,2018/1/7,3,5050,7160
0060805,I231559328,預訂,2018/1/7,3,5050,7160
0060806,N226169919,預訂,2018/1/5,1,5050,4120
0060807,A292107422,預訂,2018/1/5,1,5050,4120
0060808,G228918077,預訂,2018/1/7,3,5050,7160
0060809,K223030571,預訂,2018/1/5,1,5050,4120
0060810,U244277563,預訂,2018/1/7,3,5050,7160
0059997,R193326807,預訂,2018/1/5,1,5050,4120
0059998,F130121376,預訂,2018/1/5,1,5050,4120
